NHI,patientFName,patientLName,DOB,gender,doctorID,referralID,waitlistID
QDX4955,Spense,Pringuer,14/02/1972,Male,1001,1001,1001
ECP7715,Shirline,Van Der Kruys,27/12/1992,Female,1002,1002,1002
ZIK8925,Chev,Eckels,19/04/1951,Male,1003,1003,1003
LTS6784,Rik,Futty,29/04/1962,Male,1003,1004,1004
HGM6173,Emalia,Killen,21/10/1989,Female,1001,1005,1005
CEV6132,Rudiger,Endean,13/02/1965,Male,1004,1006,1006
PGJ7161,Beverie,Robez,3/02/1968,Female,1005,1007,1007
NKX8076,Donall,Ricciardo,21/10/1948,Male,1002,1008,1008
MXC8908,Timotheus,Laven,30/07/1975,Male,1006,1009,1009
NTQ8299,Aluino,Spelling,16/07/2008,Male,1002,1010,1010
QNE4372,Elvera,Peasby,21/10/2005,Female,1007,1011,1011
GIR5104,Vitia,Goodlake,13/06/1957,Female,1002,1012,1012
DVX6602,Brig,Ovendale,28/04/2013,Male,1005,1013,1013
JIB5920,Syman,Badcock,7/04/1976,Male,1008,1014,1014
YCX9278,Eugenie,Hugueville,26/05/2014,Female,1005,1015,1015
LMV5416,Scottie,Emms,15/02/1961,Male,1002,1016,1016
YBB1095,Carlye,Greenhead,6/01/2016,Female,1005,1017,1017
TBC7855,Vina,Dimond,4/06/1967,Female,1009,1018,1018
SXL9274,Samson,Durbann,11/04/1967,Male,1010,1019,1019
AUX6004,Rosalie,Couroy,5/10/1977,Female,1004,1020,1020
SEO7156,Harmony,Goodings,11/12/2003,Other,1005,1021,1021
XUA5670,Niki,Cousins,22/08/1984,Male,1007,1022,1022
GMC9989,Hank,Solan,13/09/2006,Male,1009,1023,1023
SHN9256,Kendra,Slayton,20/02/1952,Female,1001,1024,1024
XSI7349,Gloriana,Brevetor,4/12/2010,Female,1009,1025,1025
NHK9888,Sheri,Corhard,23/12/2012,Female,1006,1026,1026
NCR0550,Zacharia,Collishaw,7/05/2010,Male,1001,1027,1027
CNF6489,Hanan,Ryde,12/02/1952,Male,1009,1028,1028
MSC5721,Marni,Kalisz,9/02/1963,Female,1008,1029,1029
VWH6907,Leona,Murtell,12/07/1965,Female,1009,1030,1030
GOZ3094,Andre,Wallen,1/06/1987,Male,1001,1031,1031
CMZ6415,Roddy,Bonney,15/06/2008,Male,1007,1032,1032
TNH6480,Eyde,Flucker,15/09/2009,Female,1006,1033,1033
QIJ3412,Catlee,Mackley,27/09/1972,Female,1009,1034,1034
BAK4481,Wandis,Clipson,10/12/2027,Female,1005,1035,1035
CBD3031,Fremont,Reddan,22/11/1957,Male,1002,1036,1036
BBB5629,Ewell,Longmire,30/08/1949,Male,1005,1037,1037
ODR2838,Andra,Francescuccio,4/04/1951,Female,1004,1038,1038
KDD9523,Menard,Prettjohn,17/04/1965,Male,1006,1039,1039
ASD4088,Schuyler,Willimot,5/12/1956,Male,1005,1040,1040
GIQ8970,Whitney,Lakeland,10/11/1986,Male,1003,1041,1041
GEK5713,Lucias,Karlsson,29/10/2007,Male,1001,1042,1042
TGS0798,Simona,Gerrets,29/04/1989,Female,1004,1043,1043
CYC0720,Nahum,Drewet,5/10/1962,Male,1007,1044,1044
